NU_INSCRICAO,NU_IDADE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q005,NU_NOTA_MEDIA
190001743755,17.0,509.7,532.7,568.4,543.5,140.0,100.0,140.0,160.0,140.0,680.0,4.0,538.575
190001782199,18.0,420.3,382.4,539.9,634.4,120.0,100.0,100.0,120.0,80.0,520.0,3.0,494.25
190001493194,33.0,393.7,550.8,512.1,545.4,90.0,120.0,120.0,90.0,100.0,500.0,4.0,500.5
190002447769,17.0,536.8,498.5,500.6,497.5,90.0,140.0,120.0,120.0,160.0,620.0,4.0,508.35
190001237822,26.0,398.8,490.7,550.0,398.5,160.0,120.0,160.0,170.0,140.0,760.0,5.0,459.5
190001421571,21.0,634.9,641.6,586.7,797.8,160.0,170.0,160.0,170.0,200.0,880.0,3.0,665.25
190001595683,19.0,375.9,365.0,476.2,369.8,120.0,120.0,100.0,120.0,0.0,460.0,3.0,396.72499999999997
190001042842,25.0,508.4,505.0,531.0,540.7,120.0,120.0,120.0,100.0,100.0,560.0,8.0,521.2750000000001
190001517232,19.0,416.4,509.4,535.6,568.5,140.0,120.0,120.0,100.0,80.0,560.0,5.0,507.475
190001517233,28.0,467.4,477.3,502.3,448.8,120.0,120.0,100.0,100.0,0.0,440.0,2.0,473.95
190001595684,31.0,447.8,510.1,517.3,426.8,120.0,90.0,90.0,90.0,0.0,280.0,3.0,475.5
190001199385,17.0,522.3,596.8,572.6,432.2,120.0,140.0,120.0,140.0,120.0,640.0,4.0,530.9749999999999
190001133218,21.0,477.0,583.2,572.2,586.7,160.0,140.0,120.0,120.0,160.0,700.0,6.0,554.7750000000001
190001493197,20.0,622.8,634.8,622.2,746.2,160.0,170.0,160.0,170.0,180.0,880.0,2.0,656.5
190001595686,17.0,463.9,565.3,566.6,608.2,120.0,120.0,120.0,120.0,80.0,560.0,5.0,551.0
190001237824,18.0,494.2,483.1,529.0,370.7,120.0,140.0,100.0,90.0,20.0,460.0,4.0,469.25
190001867763,17.0,590.5,594.4,567.4,542.7,120.0,120.0,120.0,120.0,80.0,560.0,5.0,573.75
190001339054,32.0,429.6,452.4,447.8,426.1,120.0,120.0,120.0,140.0,100.0,600.0,3.0,438.975
190001199387,17.0,590.9,604.6,619.2,480.6,160.0,170.0,170.0,160.0,160.0,860.0,4.0,573.825
190001705264,21.0,482.9,496.8,555.8,487.4,120.0,120.0,100.0,120.0,100.0,560.0,5.0,505.725
190001199388,18.0,494.7,475.5,577.6,383.5,140.0,140.0,120.0,90.0,120.0,600.0,3.0,482.82500000000005
190001692714,18.0,450.0,490.2,522.7,423.9,160.0,120.0,140.0,140.0,80.0,640.0,4.0,471.70000000000005
190001743757,19.0,536.6,567.1,585.1,405.2,120.0,120.0,160.0,120.0,80.0,600.0,4.0,523.5
190001133221,26.0,404.7,465.2,538.8,389.0,140.0,120.0,120.0,120.0,80.0,580.0,2.0,449.42499999999995
190001475154,28.0,502.1,515.6,561.0,610.2,120.0,120.0,100.0,90.0,60.0,480.0,3.0,547.225
190001421572,18.0,493.8,515.2,502.1,394.4,120.0,120.0,120.0,120.0,140.0,620.0,2.0,476.375
190001595689,20.0,539.7,506.9,586.1,448.2,140.0,140.0,120.0,140.0,0.0,540.0,3.0,520.2249999999999
190001480448,31.0,342.0,600.0,582.2,652.6,120.0,120.0,120.0,140.0,100.0,600.0,2.0,544.2
190001595690,17.0,573.7,585.2,580.0,701.2,140.0,120.0,140.0,170.0,160.0,740.0,5.0,610.0250000000001
190001133222,20.0,454.4,492.4,487.0,495.0,90.0,120.0,90.0,100.0,120.0,500.0,2.0,482.2
190001595691,17.0,479.1,535.0,569.6,429.6,120.0,120.0,120.0,120.0,0.0,480.0,4.0,503.32500000000005
190001705265,19.0,491.1,545.8,563.2,603.6,120.0,160.0,120.0,120.0,140.0,660.0,3.0,550.9250000000001
190001237826,26.0,585.7,616.8,584.7,664.3,160.0,170.0,170.0,170.0,200.0,920.0,4.0,612.875
190001339055,25.0,468.3,402.2,500.2,390.0,100.0,120.0,120.0,100.0,120.0,560.0,3.0,440.175
190001867764,18.0,465.2,425.2,508.8,465.9,120.0,160.0,120.0,170.0,140.0,720.0,4.0,466.275
190001493198,33.0,373.1,446.3,439.5,500.9,100.0,120.0,120.0,120.0,140.0,600.0,1.0,439.95000000000005
190001093226,23.0,508.6,574.9,574.1,609.3,140.0,170.0,160.0,120.0,180.0,780.0,1.0,566.7249999999999
190001421574,21.0,399.8,540.7,502.4,415.7,120.0,120.0,140.0,100.0,120.0,600.0,2.0,464.65000000000003
190002206518,22.0,450.5,452.5,519.7,442.6,140.0,170.0,160.0,170.0,160.0,840.0,6.0,466.32500000000005
190001475157,19.0,507.9,573.3,543.7,571.4,120.0,120.0,120.0,120.0,100.0,580.0,4.0,549.0749999999999
